,Hugo_Symbol,breast,bladder,kidney,Entrez
121,MXRA5,720.5097752808988,505.78818181818184,447.8509375,25878
122,CDCA5,65.22932584269662,68.30454545454546,31.2203125,113130
123,CIRH1A,817.4201123595506,748.7563636363636,1229.48875,-1
124,NPAT,203.08078651685395,141.25181818181818,150.49312500000002,4863
125,MAGEB2,1.0020224719101125,1.4372727272727273,0.5762499999999999,4113
126,POMGNT1,1108.986179775281,937.149090909091,1408.4359375,55624
127,IPO5,1674.378764044944,1293.5527272727275,1228.361875,3843
128,C16orf47,1.588202247191011,1.1427272727272728,2.3293749999999998,-9223372036854775808
129,NHLRC3,521.5662921348314,311.54999999999995,393.9878125,387921
130,KIAA1715,363.7737078651686,187.82000000000005,209.4215625,-1
131,CCDC178,251.14404494382026,59.06272727272728,176.55656249999998,374864
132,LRRK2,119.47460674157306,97.9981818181818,569.45,120892
133,SIGLEC1,159.50988764044942,119.6809090909091,25.721875,6614
134,TSPAN15,1960.577640449438,1543.6318181818183,946.3778124999999,23555
135,TOP2B,2297.700112359551,2721.9763636363637,1725.815,7155
136,CD200R1,42.78730337078651,33.94,13.98125,131450
137,CALB1,4.100337078651686,8.933636363636364,2862.324375,793
138,MRE11A,311.7621348314606,193.0609090909091,154.49812500000002,-1
139,SGK1,2684.5502247191016,3381.605454545455,3319.12,6446
140,PTPLAD2,153.3223595505618,130.4436363636364,137.95656250000002,-1
141,RPS24,122160.10966292134,104609.23272727273,55263.25874999999,6229
142,ZSCAN21,262.2219101123595,172.54999999999998,232.23874999999998,7589
143,LRRN2,170.1798876404494,85.02181818181818,696.680625,10446
144,RDH12,11.627191011235958,26.314545454545453,112.18437499999999,145226
145,ALDH3A1,131.75449438202247,801.6436363636363,33.2753125,218
146,LMAN1L,2.102584269662922,1.7481818181818183,0.308125,79748
147,PAK4,631.3202247191011,769.7390909090908,1153.8115625,10298
148,DKKL1,18.08730337078652,8.326363636363636,9.1503125,27120
149,RASAL3,93.2503370786517,130.90363636363634,51.1953125,64926
150,KEL,18.61348314606742,14.005454545454542,8.243749999999999,3792
151,KDELC2,579.7722471910113,576.8227272727272,443.674375,-1
152,PDE6A,1.1359550561797753,1.8327272727272723,0.4059375,5145
153,TAT,2331.2048314606745,1.0336363636363635,2.474375,6898
154,MRPS18B,1689.7006741573036,1120.3927272727271,2320.131875,28973
155,DCT,20.281797752808995,3.693636363636364,7.787187500000001,1638
156,OLFM2,923.1812359550562,82.64818181818181,247.4025,93145
157,ELP5,824.5187640449439,1102.6409090909092,1047.76625,23587
158,MYADML2,1.3595505617977526,0.5245454545454545,0.6140625,255275
159,SFTPA1,3.567415730337079,4.128181818181818,1.2209375,653509
160,TIMM44,596.9433707865169,963.0409090909089,761.9265625,10469
161,C1orf174,408.97539325842695,367.6018181818182,348.29218749999995,339448
162,DAK,1060.2585393258428,975.1018181818182,2964.3215625,-1
163,N4BP2L2,1773.813258426966,1176.1681818181817,1071.0690625,10443
164,FCHO2,428.8369662921349,271.72818181818184,484.57875,115548
165,VMP1,2899.5429213483144,3776.8536363636363,2068.3684375000003,81671
166,SLC17A8,1.1864044943820224,2.7,4.484375,246213
167,SCN8A,27.230112359550557,4.305454545454546,11.3909375,6334
168,SLC39A9,1027.967415730337,575.3545454545455,1194.491875,55334
169,GAL3ST4,195.46438202247188,212.41545454545457,39.0040625,79690
170,PPP6R2,699.9511235955056,763.6100000000001,796.8331250000001,9701
171,ZNF512,730.4619101123595,468.4945454545454,523.575625,84450
172,HFE2,0.7869662921348315,0.8954545454545456,3.30375,-1
173,ZNF728,17.288426966292135,5.177272727272727,18.355,388523
174,MLEC,1844.5731460674158,1056.1790909090907,1901.44125,9761
175,B3GNTL1,126.01629213483143,127.04272727272725,72.66999999999999,146712
176,FZD10,30.01752808988764,147.07636363636362,10.2403125,11211
177,SPAG6,50.99741573033708,3.2463636363636366,16.8040625,9576
178,C12orf56,3.7001123595505616,25.638181818181817,82.06,115749
179,RP11-434D12.1,44.062022471910105,15.126363636363635,12.0571875,-1
180,GABARAPL2,3783.4331460674157,2922.572727272727,4760.086875000001,11345
181,FAM210A,208.53213483146067,194.93272727272725,320.358125,125228
182,OLFM3,1.311123595505618,0.2781818181818182,8.543125,118427
183,AGPAT5,265.04977528089887,166.28272727272727,379.8815625,55326
184,SSH1,273.69865168539326,265.4372727272727,240.29281250000003,54434
185,MAN2B2,574.1146067415731,465.8072727272727,492.405625,23324
186,UCKL1,628.3410112359551,608.2236363636364,568.54875,54963
187,RAB2A,2949.7825842696625,2326.005454545455,2421.7778125,5862
188,IL17RD,379.3060674157304,87.32545454545455,147.9909375,54756
189,TANC2,250.32168539325843,163.90545454545455,215.73,26115
190,SULT1A2,70.08325842696628,62.624545454545455,155.76937500000003,6799
191,SPRR2F,5.216629213483146,6.436363636363637,0.413125,6705
192,METRNL,746.6078651685394,2205.0290909090913,1993.29,284207
193,CDH15,2.1619101123595508,0.7936363636363637,3.0253125,1013
194,SFTA2,11.882696629213486,130.23727272727274,294.255,389376
195,CBFA2T2,224.4406741573034,173.83363636363634,164.7734375,9139
196,ZCCHC18,25.840561797752812,36.16363636363636,15.568125000000002,644353
197,FAM180B,68.6965168539326,21.329090909090908,1.7631249999999998,399888
198,ZNF625-ZNF20,70.71224719101124,32.67818181818182,52.7734375,100529855
199,USPL1,304.7120224719101,202.07,184.0853125,10208
200,HLA-DPA1,10347.920449438201,7238.6272727272735,8047.434375,3113
201,LL22NC03-75H12.2,10.327191011235954,1.0454545454545454,1.934375,-1
202,FAM209A,6.922134831460673,4.047272727272727,2.37,200232
203,CTNND2,137.56191011235953,9.035454545454545,9.915937499999998,1501
204,PRKCZ,209.5816853932584,228.93,621.108125,5590
205,GNG5,3164.3147191011244,3436.151818181818,3948.1478125,2787
206,HTR5A,0.09168539325842696,0.1509090909090909,0.189375,3361
207,FRAT2,195.23494382022471,180.30090909090907,142.4690625,23401
208,ATRNL1,51.04842696629214,18.61272727272727,143.23250000000002,26033
209,TSHR,15.95988764044944,5.367272727272728,6.5346874999999995,7253
210,ANKRD36,153.81595505617977,64.59272727272727,50.943124999999995,375248
211,C1orf86,693.1777528089888,1174.4245454545455,1209.4159375,-1
212,THPO,34.25303370786517,7.258181818181819,76.821875,7066
213,AL357673.1,73.21438202247191,48.654545454545456,59.635000000000005,-1
214,CLVS2,1.4364044943820224,1.8672727272727272,0.648125,134829
215,C11orf91,3.5674157303370793,3.75,6.9184375,100131378
216,C9orf153,2.2979775280898873,1.4227272727272726,2.9125,389766
217,LCE3D,0.616179775280899,12.075454545454546,0.29125,84648
218,ENO2,390.7315730337079,917.0490909090909,574.6728125000001,2026
219,HOXD9,170.76494382022472,84.7218181818182,575.111875,3235
220,EPHB6,362.1666292134832,990.2900000000001,243.97218749999996,2051
221,ATXN7L1,169.54033707865167,126.96545454545456,211.426875,222255
222,THBS3,748.3976404494381,695.5190909090909,291.305,7059
223,RB1CC1,573.7522471910112,404.5018181818181,347.64750000000004,9821
224,TMEM87A,2103.82404494382,1149.3854545454544,843.64,25963
225,EHMT2,856.4449438202248,911.4863636363636,633.728125,10919
226,RBAK-RBAKDN,5.255730337078651,5.623636363636364,4.1625,100533952
227,TAPBP,1462.8408988764043,1627.87,1369.7803125,6892
228,STMN1,2693.0473033707863,2377.69,2861.3618749999996,3925
229,C9orf40,119.48629213483147,98.00545454545454,68.8709375,55071
230,TP53TG3C,17.98112359550562,3.546363636363637,4.094375,653550
231,TANC1,433.56797752808984,367.31454545454545,380.19624999999996,85461
232,CD226,27.984943820224718,25.557272727272732,29.515,10666
233,KIF18A,18.941797752808988,15.316363636363638,11.253125,81930
234,CCDC47,1786.5521348314608,1245.5563636363636,1677.3934375,57003
235,APP,16205.742921348314,9077.486363636363,24678.869687500002,351
236,TNFAIP8,707.2919101123595,481.26,484.2565625,25816
237,MAGED2,7558.419325842696,4156.117272727272,5362.93125,10916
238,TUBGCP5,245.4655056179775,167.20727272727274,167.07968749999998,114791
239,PRSS46,3.9805617977528094,1.429090909090909,1.4456250000000002,-1
240,C12orf29,388.1043820224719,306.5163636363637,339.67125,91298
241,EXOC3L1,71.65887640449438,51.41636363636364,138.3259375,283849
242,IFIT2,294.16674157303373,93.38818181818182,348.0759375,3433
243,MIA3,1043.828202247191,716.67,615.1953125,375056
244,APITD1-CORT,13.74426966292135,13.737272727272728,67.5790625,-1
245,ZNF341,68.29820224719101,66.64454545454545,42.902187500000004,84905
246,AC011298.1,0.0,0.0,0.17562499999999998,-1
247,USP22,2296.2965168539326,1231.069090909091,1710.6521874999999,23326
248,C18orf42,1.5171910112359555,0.4854545454545454,1.830625,-1
249,OR2T3,0.07876404494382022,0.07545454545454545,0.3665625,343173
250,MCM6,366.87134831460673,297.48454545454547,219.960625,4175
251,DIO1,109.46842696629211,5.240909090909091,957.398125,1733
252,TMEM140,861.1414606741573,378.919090909091,886.4828124999999,55281
253,ORC5,329.3085393258427,250.7118181818182,220.1303125,5001
254,TAF13,898.7528089887641,1109.8827272727274,985.7928125000001,6884
255,MUSK,0.9751685393258426,13.607272727272727,0.6803125000000001,4593
256,KAZN,407.1878651685394,256.4554545454546,710.0790625,23254
257,INSRR,4.90314606741573,0.8618181818181817,31.699062500000004,3645
258,ERP44,541.1665168539325,462.3636363636364,470.1509375,23071
259,C10orf91,2.4711235955056177,10.41818181818182,1.6303125,-1
260,LCA5,165.86662921348315,81.00727272727273,90.018125,167691
261,MICALL2,250.2596629213483,600.9772727272727,190.95499999999998,79778
262,NAA40,261.6511235955057,175.1790909090909,281.21781250000004,79829
263,OR1N2,0.1150561797752809,0.1390909090909091,0.08875,138882
264,LOR,1.1062921348314607,3.9672727272727273,0.341875,-1
265,BBIP1,570.0130337078652,451.48818181818183,751.3287499999999,92482
266,ZNF799,122.50516853932584,65.41818181818182,78.3396875,90576
267,AQPEP,147.04775280898875,16.139999999999997,3.0284375,-1
268,PTGDR2,18.01539325842697,11.076363636363636,3.999375,11251
269,LGSN,0.7713483146067417,2.729090909090909,18.719375,51557
270,EIF2S1,1661.8838202247196,2126.6663636363637,1637.6440625,1965
271,ESPL1,21.12393258426966,33.357272727272736,64.8671875,9700
272,FXYD6-FXYD2,1.736179775280899,3.0254545454545454,214.5625,100533181
273,ALG10,80.97696629213483,47.67727272727273,66.2125,84920
274,HLA-DPB1,5396.816067415731,5461.376363636364,4735.5934375,3115
275,LINC00632,50.77573033707865,4.805454545454546,3.0590625,286411
276,TRIP6,1405.046179775281,1814.4736363636366,1854.0278125,7205
277,ARHGEF37,557.0142696629214,282.2809090909091,267.04,389337
278,PRKAG1,1556.9730337078652,1249.3654545454547,1394.9940625,5571
279,FGF2,502.0407865168539,195.38636363636363,183.145,2247
280,CTSO,950.0725842696628,546.0109090909091,1061.9175,1519
281,PFDN5,23465.78224719101,21474.11909090909,18037.966249999998,5204
282,PRH1,0.29157303370786514,0.0,0.1690625,5554
283,ADAM28,127.95471910112359,213.9572727272727,147.3765625,10863
284,PRDM10,88.09685393258425,59.625454545454545,60.4496875,56980
285,UPRT,261.47966292134834,192.33909090909086,288.206875,139596
286,NPY,3.988876404494382,13.31,8.853125,4852
287,PRR7,28.265955056179777,36.97,21.442812500000002,80758
288,SMARCD3,969.4294382022472,750.2709090909091,571.7987499999999,6604
289,SPACA5B,0.16348314606741574,0.0,0.27749999999999997,729201
290,MAGEB17,12.315505617977527,2.1227272727272726,1.668125,645864
291,GCNT1,315.3,52.25272727272727,62.53125,2650
292,XPO1,1512.9403370786517,1171.3945454545456,904.6303125,7514
293,EP400NL,129.8252808988764,100.58909090909091,69.7278125,-1
294,RANGRF,808.1786516853932,815.9363636363636,995.30375,29098
295,TP53INP2,391.425393258427,1513.8763636363635,1160.2096875,58476
296,TRMT61B,314.2626966292135,247.6345454545455,297.838125,55006
