,Hugo_Symbol,breast,bladder,kidney,index
1693,CST9L,6.364269662921348,0.19454545454545455,0.1103125,2649
1694,NTRK2,3555.5483146067413,162.57545454545453,1330.0018750000002,8023
1695,BATF,244.8938202247191,405.36909090909086,28.1603125,1163
1696,BOP1,385.7602247191011,562.7018181818182,333.3203125,1310
1697,HOOK3,314.1203370786517,201.04363636363635,193.6290625,5139
1698,CBR4,384.5121348314606,276.04727272727274,572.6656250000001,1638
1699,MYH13,0.2648314606741573,0.5672727272727273,0.3409375,7367
1700,EVI2A,205.27561797752807,225.5981818181818,97.44437500000001,3725
1701,CLIC2,575.1856179775281,253.60909090909092,231.39499999999998,2207
1702,PDE3B,396.4175280898877,199.85000000000002,80.7109375,8553
1703,EFNB3,189.86820224719102,45.300909090909094,69.3096875,3434
1704,IGSF8,790.3505617977528,557.8354545454546,1076.77625,5444
1705,AGGF1,337.07943820224716,207.49818181818182,315.24250000000006,431
1706,CCND1,3059.5258426966293,1640.6072727272729,1948.350625,1734
1707,LRP1B,60.048202247191014,3.141818181818182,15.040312499999999,6532
1708,XDH,190.89831460674154,30.661818181818173,13.2465625,13369
1709,RBPJL,0.27640449438202247,0.3718181818181818,0.30937499999999996,9786
1710,ECE2,76.14775280898877,71.77636363636363,86.330625,3378
1711,DDX6,1194.390786516854,638.0563636363636,797.4628125,2944
1712,DNPH1,831.8021348314606,1188.3854545454544,3631.2315624999997,3147
1713,CUL4A,1099.46797752809,828.0236363636363,888.4134375,2708
1714,INHBC,1.0729213483146067,0.55,4.0271875,5559
1715,CILP2,17.254943820224717,22.743636363636366,2.868125,2096
1716,TAB1,387.8826966292135,403.76181818181817,343.7471875,11858
1717,ROBO2,51.771460674157304,20.184545454545454,56.655,10231
1718,GRAP,110.40191011235953,72.21181818181817,166.2340625,4720
1719,CASP7,679.123595505618,500.28363636363633,572.9290625,1582
1720,LITAF,4024.4038202247193,3757.281818181818,5207.8099999999995,6438
1721,DOC2B,153.02651685393258,49.65363636363636,137.08406250000002,3156
1722,SYCP1,5.732696629213482,0.4127272727272727,0.36906249999999996,11725
1723,NTRK3,407.3666292134831,134.03363636363636,108.668125,8024
1724,WIPI2,1246.531797752809,910.3727272727273,1190.41125,13326
1725,SMYD3,388.6312359550562,442.45818181818174,408.2309375,11189
1726,APOH,0.7378651685393258,1.2645454545454546,317.8359375,756
1727,PERP,2474.711573033708,2864.470909090909,1056.923125,8635
1728,FUS,4703.332584269663,5063.023636363637,4494.803749999999,4213
1729,ISLR2,49.038988764044944,15.377272727272727,12.9853125,5664
1730,SIRPG,29.95730337078652,49.63818181818181,18.946875,11068
1731,STK11,707.3791011235954,906.0290909090909,717.7028125,11606
1732,ITM2C,1622.3534831460677,5531.12909090909,8736.647187499999,5710
1733,PRDM2,615.4778651685394,512.4154545454545,323.6959375,9139
1734,TACC3,150.0401123595506,234.61636363636362,107.02031249999999,11864
1735,CIDEC,12582.330674157303,132.03545454545454,61.7559375,2094
1736,IFNA1,0.30359550561797755,1.7354545454545454,0.6465624999999999,5394
1737,OXLD1,461.4722471910113,499.00909090909084,695.1221875,8245
1738,SARM1,189.1432584269663,210.1527272727273,200.898125,10680
