node0,node1
12872,4964
969,5757
4116,5756
6153,4073
5517,8410
10903,3689
8862,2975
11131,11126
10454,969
12872,4962
13171,13177
11582,9319
4149,11058
2613,2612
11586,8386
5631,1200
1,3472
7042,7693
4326,5029
6537,588
8745,8744
3012,5041
9837,7708
6536,4247
5447,4962
1059,10161
11318,8285
5112,4144
5758,4116
12724,9324
8676,8562
12895,1257
6437,5618
14009,8389
8870,11802
6274,10796
7531,3166
5729,5019
7037,6148
3604,3427
2554,969
11089,1883
5758,5756
8295,9649
11128,11437
12529,1275
10447,5030
5758,970
8344,1049
4483,815
6873,2681
873,6559
5837,12725
10453,10454
6351,4962
10986,6124
4323,4964
7555,1
1200,1206
9156,11058
1816,1870
5046,8285
5046,2633
6651,10025
9698,11272
1387,1386
1387,8295
12265,11989
4965,11476
6270,10799
3166,2575
6653,511
6654,11131
1868,1882
7546,3689
12074,1275
1137,1066
4583,4345
8754,7034
11584,8754
2340,2339
4323,4966
1724,10796
7988,3348
5523,1883
8564,8677
11586,3710
1211,12491
12126,10799
11355,7553
12598,12454
10800,5502
13159,12050
9332,1823
3633,7964
1479,9324
731,11428
7047,7691
4966,9907
12917,4965
6900,4965
2277,2275
9075,7350
512,1882
856,5030
3590,4323
4323,5019
3431,3610
11086,11130
8539,5362
11575,11564
2190,5731
11286,12618
8295,5831
689,696
5758,2554
3332,10799
3351,12116
1,4965
12133,11129
10796,2624
1584,3860
7963,3633
7045,11223
1606,7863
684,8748
12491,131
7555,6252
5479,5476
7305,4501
219,8022
10799,6143
12974,2830
4964,4968
6862,12204
5019,5021
13360,11132
7413,5029
12110,12254
1922,1868
10983,9698
11131,11184
2748,2751
1624,2574
13282,4282
12502,5730
4966,4324
10799,12238
12075,219
2681,2678
11059,5223
12230,2599
2681,3918
4151,11058
2508,1049
12491,8013
1252,8295
1521,7677
415,11057
8960,13402
4326,5030
7693,5849
11128,1059
1050,9228
3689,11564
10797,3767
12252,6351
1635,5758
7047,11858
7692,5849
3443,1375
8676,8561
12002,12252
10799,10800
7940,4964
11126,13549
3504,5517
731,3073
13172,13178
3590,13464
9165,2888
11471,11465
7932,3689
5729,5279
5641,2575
8903,5996
5738,969
3742,10869
5048,856
13178,13173
10242,13347
11126,11086
7358,13464
8292,7827
588,6533
8308,4656
5728,5500
7634,11127
1197,1166
10799,7060
6900,7539
11322,4963
11318,4963
1148,6827
8285,1148
1478,8862
9319,3870
10014,13044
12604,10799
4328,5030
7866,3307
7932,3690
2682,1479
5729,5502
6354,11677
12074,13354
4969,11158
2575,3157
8292,11318
4657,7060
10797,12604
12614,12613
11922,12543
8411,5517
13321,13344
1198,7708
4323,5029
11058,4857
9128,8903
7691,7041
1186,3870
4964,4324
6654,13370
3689,594
3165,7531
3348,7627
410,6351
3689,10652
11126,11185
8608,9666
1050,9035
40,1050
12872,10465
11089,4149
10983,4726
4966,655
9319,12202
4323,4965
10963,6650
5678,2384
11471,5690
1582,5690
5756,5757
5454,12453
12453,7658
3348,9792
1869,1735
6715,328
1757,4574
3348,12115
3076,7861
4979,1635
3710,3711
5205,2777
1536,2520
9177,3040
9175,9185
12180,8389
479,5184
1537,2520
12488,12455
6340,8806
4967,11686
8389,8393
11476,5140
10675,11127
4335,4351
2752,4574
6491,5504
11471,3870
1871,1736
11281,4469
1253,1252
8285,5448
6900,4970
9919,2
7359,12264
1806,1794
8747,8746
1066,1166
1293,1294
11686,2659
12505,2830
5420,5640
12140,12139
11129,11084
5758,3717
1868,1728
1264,6136
1635,3590
1888,6862
11583,11582
2659,7861
4326,7779
10026,2008
4966,6900
1635,2554
4417,9990
5043,8285
11318,11322
3590,8620
2677,1827
3632,3631
7437,8790
11476,5108
9058,10461
11311,8960
9058,9156
5205,328
5184,511
5499,5498
11686,8960
12597,8059
4970,2
5987,11471
6362,6363
5278,5277
2673,1329
8552,8551
4962,11318
12614,12507
1799,4244
7034,3590
4966,2
11471,3443
5728,5544
12863,5545
9747,3348
5545,5544
7689,5980
5729,3622
1831,2677
11688,11687
8620,1635
12893,10208
9294,10985
458,4574
2752,1811
3631,3443
5987,9698
2,4150
1137,2
11686,4970
1742,1872
434,3042
627,1567
2167,5691
2,10238
10389,5678
5691,3341
5691,6937
219,8295
8296,5641
8296,5640
5691,8893
3341,2384
8344,9646
5691,3634
8296,3631
3869,5691
4244,5691
13192,5691
3341,3634
5678,1772
13407,5691
5691,2384
2384,8893
2975,2384
10238,6
10238,5
10238,1
0,10238
5377,5691
10983,5691
5691,3631
600,3443
6041,4502
11170,9295
11170,9294
1,4501
9294,786
6029,6041
4501,3334
2681,4501
11677,11614
1,4503
11614,4503
4501,11614
7695,13455
6245,7695
1575,2575
10291,1575
8699,4244
1806,13455
13322,13455
9686,4771
13455,1817
8296,2677
1619,13455
11105,13455
8881,13455
8881,4726
8297,8296
6339,5705
3968,13455
6339,6304
1832,6334
4721,6334
4721,4244
11080,9342
13161,6339
10963,6334
13161,4417
6339,6
4770,11080
1624,13455
13455,3870
13161,3332
5705,4726
6245,11105
1557,1196
6339,8881
13455,1557
814,8344
7036,7149
4484,815
8344,4484
13142,4242
3557,4242
3728,4242
11935,13161
9326,1624
9319,4283
4283,13455
6304,4283
13455,219
13455,9698
1804,13455
13455,4244
9329,1806
3296,13455
12625,1806
1804,12625
6245,1619
3870,6334
9084,9320
8344,815
8344,7531
12845,4244
3870,8428
3870,4726
10983,13455
13161,3870
6334,7317
2574,13322
7317,13455
7317,2681
4244,13283
9084,13283
13455,6334
11080,4244
2575,13455
11080,11471
11080,4726
8881,4721
4242,11081
10983,4721
4721,11287
4726,1619
1806,10983
3870,4244
1619,2574
1791,8296
4417,10983
4244,1624
11288,8881
7531,1804
1804,8042
3869,6334
11080,6334
4244,6245
6245,1624
4244,12875
6334,12875
11106,13455
1806,11106
6304,13161
4726,6304
10026,1196
3158,1806
3870,10968
13283,9320
13455,10982
8296,5329
1791,8297
8297,2677
10982,4720
10982,6304
13455,11925
11935,13455
6339,13160
13455,2955
10982,13161
10982,6339
1624,2575
13161,11925
1792,9084
4720,6305
6305,4726
6153,511
12875,1811
9347,6334
1624,5
4244,5713
8881,11287
11080,6615
13455,4726
1806,4726
5730,1806
1817,9332
12108,11584
6396,5505
5640,5728
10006,7298
4119,11584
5728,5729
8154,5505
5728,9666
9710,9666
8154,8210
11471,11584
3631,5505
5505,3632
8210,3631
8210,5505
1923,3449
11272,5728
4726,5729
11582,4119
4470,6807
4470,3242
4470,72
511,9060
5640,4726
3165,4244
4574,4470
4570,4470
4468,4470
4470,696
873,4470
4697,4470
11530,4470
4244,4470
11471,511
872,11471
873,11471
872,511
873,511
4470,872
10291,2575
13161,5125
13455,511
2829,8881
4953,1186
1186,4244
2085,4953
1186,2574
2574,1575
1624,13159
13159,6245
1276,4726
1824,6334
6245,13161
8882,1776
1825,1824
4726,1776
4726,8005
1380,8748
8743,1380
1380,8742
5429,1785
4244,1824
6615,1824
1380,8746
12050,9323
2574,11287
11288,2574
11575,12050
8881,1785
2829,8882
1186,6615
10983,4282
4282,9319
1624,6334
1624,6615
10983,10966
10966,4726
10966,1624
8747,1380
6714,1557
6654,1196
8005,1624
6145,8881
6245,6145
6145,8882
1785,6245
13161,2575
1276,7531
1575,3870
1276,13161
1575,6615
3957,7037
1624,10983
1825,13455
1624,1273
6144,1557
1380,1624
1624,11106
1380,4821
1276,8881
1785,9332
2562,4570
4577,2562
4563,2562
2562,4573
4753,2562
4569,2562
2562,873
12618,11457
6654,3947
5454,12618
6654,6647
5475,5478
5478,5624
6654,3521
5478,5623
6654,9099
12618,5626
5474,7359
7359,5624
11860,12618
6654,12618
12618,11859
5454,3521
11859,11858
5476,5478
5623,5474
5478,5474
5626,5623
12108,5447
12514,5478
8616,5626
5454,6654
5623,8616
4002,2621
4002,2619
5184,7317
11287,4282
13378,9685
4017,7317
6510,4002
4002,4038
11381,4002
9990,9669
10983,6148
1868,1734
9669,12237
7123,10234
7036,6334
11565,11584
2574,9319
5490,10982
5730,10982
10982,5728
10982,5491
8296,5490
10983,5490
5491,5490
6334,5490
12075,5184
7298,12075
6240,12075
12075,511
7037,6615
7036,1868
5490,11584
11565,2575
11564,2574
2575,11564
11565,2574
5490,9332
5490,6245
8296,6334
5490,9666
6615,5490
11584,11564
11565,11564
11565,4395
11564,7811
5709,1197
3710,11565
7811,11565
11565,3711
5490,5730
5490,5489
13191,5730
4283,2574
10983,2574
5730,5641
5641,5728
5730,5640
5505,5729
5276,5505
2554,511
3981,5499
5499,9649
11272,11271
9039,11565
11564,9039
4283,10983
8296,9319
5729,12050
9710,8822
1068,0
8296,12050
5499,6144
10983,5499
5499,6245
5499,9332
6615,6245
5499,6615
8428,5688
2681,5699
4322,666
5279,5500
5466,5500
7540,3590
11199,1635
5501,5500
5500,12502
6245,8882
5500,5491
6245,511
10983,5500
5730,5500
3869,2752
5500,6245
11586,1923
11586,1922
5641,5500
8822,8820
5728,11270
9332,5500
5500,10986
3981,5500
7036,11586
5728,6154
4896,11586
5502,6615
5499,4953
5729,11270
11304,10800
5502,5499
5499,5728
3332,6615
5729,3332
6615,12875
12050,5728
10983,5729
10983,5505
6615,5505
5505,4953
11584,6148
13161,9646
1874,5505
7152,6148
11584,600
5758,11584
1624,9319
11287,10983
13161,7036
4726,13161
11584,2830
11584,5184
7037,11584
7538,11584
7538,1635
11272,9319
3631,10983
6654,11584
600,7538
7790,11584
11584,5505
9319,5729
9319,5728
4726,5505
12863,9319
11584,4962
3632,10983
5505,13161
11584,9319
11584,1923
11584,5507
10983,1619
1619,8296
4244,5507
5507,5491
5508,5507
5507,3870
8296,5507
5491,5728
5730,8296
10200,600
9033,600
600,10447
7539,7538
11471,600
8296,600
5205,600
600,1922
600,7546
600,9683
600,12676
1844,600
600,11128
600,11514
410,600
5836,600
11471,8296
400,600
2943,600
600,8400
628,600
11471,3689
600,2830
10210,600
12917,600
7982,600
3421,8400
13393,600
3421,600
11707,600
13581,600
600,12395
4025,600
600,7163
7653,600
7983,600
4025,8620
4120,600
5972,600
600,5968
11058,600
4968,600
11153,600
600,8415
5200,1140
600,7545
1348,600
6697,600
9300,600
8620,11471
4794,600
600,5699
9736,600
6697,7539
1736,600
600,1769
9649,600
2448,600
600,13582
600,5840
1742,12092
7541,600
12138,600
13689,600
600,7932
7162,600
11838,600
11837,600
6590,600
3689,600
600,11363
3177,511
4073,600
600,7853
600,1140
9685,600
6862,600
12141,11055
7539,600
2906,600
600,11318
600,2681
600,627
8415,10210
7940,600
8755,600
8754,600
600,1874
600,8982
600,8428
10905,600
600,1737
600,1606
600,9145
600,13392
600,6493
11228,600
600,464
600,856
2827,600
5837,12676
3590,12676
969,600
600,9648
7540,600
