,0,1
946,3552,8200
947,3552,8454
948,3552,8600
949,3552,8743
950,3552,8792
951,3552,8795
952,3552,8808
953,3552,8809
954,3552,8877
955,3552,8878
956,3552,8942
957,3552,8989
958,3552,9020
959,3552,9021
960,3552,9235
961,3552,9308
962,3552,9370
963,3552,9447
964,3552,9448
965,3552,9507
966,3552,9509
967,3552,9510
968,3552,9560
969,3552,9641
970,3552,9768
971,3552,9839
972,3552,9966
973,3552,10068
974,3552,10133
975,3552,10216
976,3552,10344
977,3552,10392
978,3552,10468
979,3552,10499
980,3552,10631
981,3552,10657
982,3552,10850
983,3552,10959
984,3552,11096
985,3552,11141
986,3552,22861
987,3552,22943
988,3552,23308
989,3552,23373
990,3552,23621
991,3552,25949
992,3552,26284
993,3552,26525
994,3552,27020
995,3552,27178
996,3552,27179
997,3552,28935
998,3552,29108
999,3552,29760
1000,3552,29949
1001,3552,50507
1002,3552,50604
1003,3552,50616
1004,3552,51135
1005,3552,51477
1006,3552,51497
1007,3552,51561
1008,3552,54106
1009,3552,54210
1010,3552,54474
1011,3552,54829
1012,3552,55183
1013,3552,55740
1014,3552,55894
1015,3552,55937
1016,3552,56477
1017,3552,56729
1018,3552,57162
1019,3552,58191
1020,3552,59307
1021,3552,64061
1022,3552,64127
1023,3552,79651
1024,3552,83463
1025,3552,84639
1026,3552,84959
1027,3552,85480
1028,3552,90865
1029,3552,91942
1030,3552,93659
1031,3552,112476
1032,3552,114548
1033,3552,117159
1034,3552,150353
1035,3552,151742
1036,3552,163702
1037,3552,167359
1038,3552,222344
1039,3552,284424
1040,3552,406906
1041,3552,407029
1042,3552,644914
1043,3552,653509
1044,3552,729230
1045,3552,100128922
1046,3552,100128998
1047,3552,100289462
1048,3552,102138971
1049,3552,102139631
1050,3552,103694380
1051,3553,3553
1052,3553,3554
1053,3553,3556
1054,3553,3557
1055,3553,3558
1056,3553,3559
1057,3553,3560
1058,3553,3562
1059,3553,3565
1060,3553,3566
1061,3553,3567
1062,3553,3568
1063,3553,3569
1064,3553,3570
1065,3553,3572
1066,3553,3574
1067,3553,3575
1068,3553,3576
1069,3553,3578
1070,3553,3579
1071,3553,3586
1072,3553,3588
1073,3553,3589
1074,3553,3592
1075,3553,3593
1076,3553,3595
1077,3553,3596
1078,3553,3597
1079,3553,3600
1080,3553,3603
1081,3553,3605
1082,3553,3606
1083,3553,3620
1084,3553,3624
1085,3553,3627
1086,3553,3630
1087,3553,3638
1088,3553,3654
1089,3553,3656
1090,3553,3659
1091,3553,3661
1092,3553,3667
1093,3553,3673
1094,3553,3678
1095,3553,3683
1096,3553,3684
1097,3553,3687
1098,3553,3688
1099,3553,3689
1100,3553,3696
1101,3553,3700
1102,3553,3717
